VentaID,FacturaID,Fecha,ClienteID,VendedorID,ProductoID,Cantidad,PrecioUnitario,CostoUnitario,Descuento,TotalVenta,TotalCosto,Margen,CanalVenta
1,1,2025-03-04,479,4,3,2,32876.49,26708.1,0.0,65752.98,53416.2,12336.78,Correo
2,1,2025-05-17,479,4,7,7,9930.86,7707.64,0.0,69516.02,53953.48,15562.54,Correo
3,1,2025-06-03,479,4,12,2,5462.78,4161.22,0.0,10925.56,8322.44,2603.12,Correo
4,1,2025-08-29,479,4,24,5,2435.04,1749.83,563.91,11611.29,8749.15,2862.14,Correo
5,2,2025-12-21,136,6,14,7,3678.74,3411.69,486.36,25264.79,23881.85,1382.94,Teléfono
6,3,2024-01-16,485,7,19,7,778.81,573.74,0.0,5451.65,4016.2,1435.46,Presencial
7,3,2024-03-02,485,7,12,6,3625.85,2782.57,632.91,20729.8,16695.41,4034.38,Presencial
8,4,2025-04-28,515,4,16,6,751.21,538.83,0.0,4507.24,3232.98,1274.26,Teléfono
9,4,2025-05-24,515,4,27,2,627.25,472.6,0.0,1254.5,945.2,309.3,Teléfono
10,4,2025-05-17,515,4,15,4,2703.84,1980.61,0.0,10815.36,7922.43,2892.93,Teléfono
11,5,2024-01-26,341,11,24,39,1839.31,1361.61,3724.52,68008.48,53102.79,14905.69,WhatsApp
12,6,2025-02-25,368,2,20,7,1959.86,1384.01,571.72,13147.33,9688.06,3459.28,Teléfono
13,6,2025-03-20,368,2,11,3,15217.6,12162.12,0.0,45652.79,36486.36,9166.43,Teléfono
14,6,2025-03-15,368,2,14,6,14090.05,10917.13,0.0,84540.31,65502.79,19037.52,Teléfono
15,6,2025-02-26,368,2,23,26,1066.01,725.44,741.12,26975.09,18861.34,8113.75,Teléfono
16,7,2025-03-14,515,11,10,4,1641.2,1438.95,0.0,6564.78,5755.8,808.98,Teléfono
17,7,2025-01-29,515,11,29,4,6584.13,5923.23,0.0,26336.52,23692.92,2643.6,Teléfono
18,7,2025-01-29,515,11,24,11,518.81,407.28,226.25,5480.6,4480.08,1000.52,Teléfono
19,7,2025-01-26,515,11,16,9,336.83,260.06,69.76,2961.74,2340.56,621.17,Teléfono
20,7,2025-01-22,515,11,30,5,1911.49,1625.84,0.0,9557.44,8129.21,1428.22,Teléfono
21,8,2025-05-09,105,2,15,7,28899.92,21498.17,0.0,202299.43,150487.15,51812.28,Teléfono
22,8,2025-06-11,105,2,1,3,111910.05,88892.52,0.0,335730.15,266677.56,69052.59,Teléfono
23,8,2025-09-21,105,2,21,7,11562.87,8522.09,2539.17,78400.93,59654.64,18746.29,Teléfono
24,9,2025-06-10,368,13,1,9,11551.31,9976.32,0.0,103961.77,89786.93,14174.86,Correo
25,9,2025-05-02,368,13,15,7,2753.98,2127.68,0.0,19277.83,14893.79,4384.04,Correo
26,9,2025-04-05,368,13,16,8,799.85,596.24,74.24,6324.54,4769.95,1554.59,Correo
27,10,2025-12-07,364,15,10,1,7486.09,5848.22,0.0,7486.09,5848.22,1637.87,Teléfono
28,10,2025-05-01,364,15,21,15,2961.95,2192.14,0.0,44429.22,32882.04,11547.18,Teléfono
29,11,2025-01-13,281,9,18,5,2405.77,1839.0,0.0,12028.85,9194.99,2833.86,Correo
30,11,2025-01-29,281,9,27,29,857.13,611.83,1611.59,23245.08,17743.13,5501.95,Correo
31,11,2025-02-05,281,9,22,30,400.84,299.27,762.16,11263.1,8978.11,2284.99,Correo
32,11,2025-02-13,281,9,26,4,2726.79,2090.27,0.0,10907.15,8361.07,2546.08,Correo
33,12,2024-05-16,402,6,8,16,9508.82,8006.85,10524.02,141617.1,128109.6,13507.5,WhatsApp
34,12,2024-10-13,402,6,24,26,1203.88,917.68,1382.34,29918.54,23859.68,6058.86,WhatsApp
35,13,2025-11-30,313,4,10,5,11105.76,8912.17,0.0,55528.79,44560.87,10967.91,Presencial
36,13,2025-05-22,313,4,25,10,2585.47,1963.39,1399.02,24455.64,19633.86,4821.78,Presencial
37,13,2025-04-05,313,4,14,3,12025.37,9486.73,0.0,36076.1,28460.2,7615.9,Presencial
38,13,2025-03-05,313,4,18,14,3309.81,2500.66,0.0,46337.32,35009.23,11328.09,Presencial
39,13,2025-12-11,313,4,3,3,18172.13,15628.87,0.0,54516.42,46886.59,7629.82,Presencial
40,14,2024-11-06,129,5,15,15,4209.37,3121.54,2277.29,60863.22,46823.18,14040.05,Correo
41,14,2024-11-25,129,5,29,7,22961.03,19364.16,0.0,160727.23,135549.12,25178.11,Correo
42,14,2025-04-07,129,5,16,39,1238.16,859.46,2815.55,45472.69,33519.04,11953.65,Correo
43,15,2024-12-11,566,5,12,2,5178.25,3971.11,265.5,10091.0,7942.23,2148.78,Teléfono
44,15,2025-01-30,566,5,26,2,4220.62,3109.7,0.0,8441.24,6219.41,2221.83,Teléfono
45,15,2025-01-28,566,5,25,8,2814.26,2107.44,987.63,21526.42,16859.54,4666.87,Teléfono
46,16,2025-03-03,443,4,15,9,4198.95,3061.18,0.0,37790.51,27550.61,10239.9,Correo
47,17,2024-01-09,67,7,6,5,57877.89,45418.01,0.0,289389.45,227090.05,62299.4,Presencial
48,18,2025-07-13,201,11,22,13,215.38,181.81,187.56,2612.33,2363.56,248.77,WhatsApp
49,19,2025-01-14,219,10,24,20,3095.76,2113.53,0.0,61915.15,42270.54,19644.61,Presencial
50,19,2025-03-25,219,10,18,10,4775.81,3545.26,1317.3,46440.77,35452.56,10988.21,Presencial
51,19,2025-06-07,219,10,17,4,13308.54,9826.03,0.0,53234.16,39304.11,13930.05,Presencial
52,19,2025-06-30,219,10,11,3,31031.34,23193.15,0.0,93094.01,69579.46,23514.56,Presencial
53,19,2025-08-18,219,10,25,21,3741.06,2697.88,0.0,78562.25,56655.47,21906.78,Presencial
54,20,2025-01-08,149,1,14,3,10682.02,8580.82,0.0,32046.05,25742.45,6303.6,Correo
55,20,2025-11-27,149,1,27,33,1065.97,769.27,2277.25,32899.82,25385.98,7513.85,Correo
56,20,2025-01-26,149,1,18,14,3036.77,2318.33,2368.78,40145.98,32456.59,7689.38,Correo
57,21,2024-03-27,265,10,25,10,2697.31,1949.75,1871.8,25101.3,19497.5,5603.8,WhatsApp
58,22,2025-10-31,384,11,4,4,11115.76,10019.9,0.0,44463.02,40079.62,4383.41,Web
59,22,2025-11-29,384,11,15,36,2063.95,1647.65,5760.31,68541.96,59315.33,9226.63,Web
60,23,2024-06-18,236,14,18,11,1383.63,1107.46,899.63,14320.35,12182.06,2138.29,Presencial
61,23,2024-07-14,236,14,22,10,237.14,185.38,0.0,2371.43,1853.83,517.61,Presencial
62,24,2024-01-20,518,6,28,3,2369.96,2052.61,0.0,7109.88,6157.83,952.05,Teléfono
63,25,2025-02-06,526,13,14,6,10679.03,8448.6,0.0,64074.21,50691.61,13382.6,Correo
64,25,2025-02-14,526,13,20,30,1494.07,1054.77,3345.05,41476.94,31643.12,9833.83,Correo
65,25,2025-03-22,526,13,18,7,3024.35,2253.08,0.0,21170.44,15771.59,5398.85,Correo
66,26,2025-02-01,495,4,18,8,3839.26,2899.03,995.6,29718.48,23192.24,6526.24,Web
67,26,2025-03-11,495,4,12,1,5620.55,4172.9,0.0,5620.55,4172.9,1447.65,Web
68,26,2025-04-03,495,4,14,5,13879.66,10679.24,1388.05,68010.25,53396.2,14614.05,Web
69,26,2025-04-09,495,4,26,26,4385.12,3296.39,6719.72,107293.4,85706.14,21587.26,Web
70,26,2025-04-15,495,4,24,20,2448.74,1754.25,1687.31,47287.49,35085.0,12202.49,Web
71,26,2025-05-18,495,4,16,20,1619.91,1137.79,675.51,31722.69,22755.8,8966.89,Web
72,27,2024-12-16,307,9,11,3,8268.68,6787.72,0.0,24806.04,20363.16,4442.88,Teléfono
73,27,2025-02-05,307,9,12,19,2966.62,2309.63,2166.41,54199.37,43882.97,10316.4,Teléfono
74,27,2025-01-26,307,9,1,6,15912.75,13590.98,4646.16,91666.64,81545.9,10120.74,Teléfono
75,27,2025-01-13,307,9,14,4,7506.2,6042.33,0.0,30024.8,24169.32,5855.48,Teléfono
76,28,2025-12-02,314,7,16,10,1197.98,856.42,637.32,11342.48,8564.2,2778.28,Presencial
77,29,2024-01-02,71,14,1,1,167754.5,136946.48,0.0,167754.5,136946.48,30808.01,Web
78,29,2024-03-15,71,14,12,3,31309.63,23556.11,0.0,93928.9,70668.33,23260.57,Web
79,29,2024-07-11,71,14,20,7,10874.82,7731.76,3515.78,72607.94,54122.32,18485.62,Web
80,30,2024-06-18,151,2,1,3,7579.34,6694.72,0.0,22738.01,20084.19,2653.83,Teléfono
81,30,2024-06-29,151,2,3,4,7272.95,6266.48,0.0,29091.82,25065.92,4025.9,Teléfono
82,31,2024-08-05,94,6,10,2,2531.06,2158.43,0.0,5062.12,4316.86,745.26,Presencial
83,31,2024-10-07,94,6,8,3,6212.78,5354.44,215.56,18422.78,16063.32,2359.46,Presencial
84,31,2024-11-12,94,6,18,2,2000.37,1629.26,0.0,4000.75,3258.53,742.22,Presencial
85,31,2025-01-03,94,6,28,4,3462.91,2854.13,0.0,13851.64,11416.52,2435.12,Presencial
86,31,2025-07-29,94,6,29,2,7768.46,6651.71,0.0,15536.92,13303.42,2233.5,Presencial
87,32,2025-02-24,552,13,19,11,1839.98,1327.5,1155.83,19084.0,14602.5,4481.5,Presencial
88,32,2025-03-21,552,13,3,3,31309.72,26566.2,0.0,93929.15,79698.6,14230.55,Presencial
89,32,2025-03-06,552,13,30,12,8664.47,6825.52,6908.84,97064.77,81906.19,15158.58,Presencial
90,32,2025-02-25,552,13,21,12,2845.09,2204.74,1952.3,32188.8,26456.83,5731.97,Presencial
91,33,2025-04-09,423,10,27,7,406.31,298.41,0.0,2844.17,2088.89,755.28,WhatsApp
92,33,2025-05-22,423,10,1,8,7879.02,6932.54,1207.69,62114.34,55460.28,6654.06,WhatsApp
93,33,2025-05-28,423,10,9,2,7657.06,6421.93,167.33,15146.78,12843.85,2302.93,WhatsApp
94,34,2025-04-28,359,1,15,14,2017.18,1572.65,1912.55,26328.04,22017.14,4310.9,WhatsApp
95,34,2025-07-19,359,1,27,5,505.09,374.3,0.0,2525.44,1871.51,653.92,WhatsApp
96,34,2025-08-13,359,1,16,14,583.97,434.6,0.0,8175.62,6084.33,2091.28,WhatsApp
97,35,2024-11-05,267,3,25,8,1753.69,1354.29,577.08,13452.44,10834.32,2618.12,Web
98,35,2025-01-01,267,3,7,6,5764.31,4710.47,0.0,34585.86,28262.82,6323.04,Web
99,36,2024-01-18,313,10,8,5,18175.12,14864.89,0.0,90875.59,74324.45,16551.14,Teléfono
100,36,2024-01-18,313,10,13,5,11598.54,9200.57,1529.17,56463.52,46002.87,10460.65,Teléfono
101,36,2024-04-07,313,10,17,4,14556.29,10870.11,0.0,58225.16,43480.41,14744.75,Teléfono
102,37,2024-10-16,433,14,12,1,4682.57,3638.32,0.0,4682.57,3638.32,1044.25,Presencial
103,37,2024-10-24,433,14,23,12,899.1,631.02,0.0,10789.2,7572.2,3217.0,Presencial
104,38,2024-09-25,48,2,30,9,7610.92,6162.6,2758.82,65739.48,55463.41,10276.06,Teléfono
105,39,2025-08-24,440,13,17,14,15500.64,11203.11,0.0,217008.96,156843.54,60165.42,Teléfono
106,39,2025-08-31,440,13,24,4,3392.17,2410.63,239.3,13329.38,9642.52,3686.86,Teléfono
107,40,2024-07-02,178,5,19,12,1724.35,1234.8,0.0,20692.2,14817.6,5874.6,WhatsApp
108,40,2024-08-06,178,5,12,5,5030.46,3796.76,0.0,25152.3,18983.8,6168.5,WhatsApp
109,41,2025-11-24,174,11,17,5,8157.36,6487.18,0.0,40786.79,32435.9,8350.91,Presencial
110,41,2025-11-16,174,11,1,3,13085.93,11191.76,0.0,39257.77,33575.26,5682.51,Presencial
111,42,2025-11-07,138,12,28,4,17510.3,13277.83,0.0,70041.19,53111.32,16929.87,Correo
112,42,2025-10-22,138,12,20,3,3140.41,2262.8,0.0,9421.24,6788.41,2632.83,Correo
113,43,2024-01-16,438,7,15,11,3022.4,2258.38,0.0,33246.4,24842.18,8404.22,WhatsApp
114,43,2024-01-20,438,7,10,7,4220.67,3349.32,0.0,29544.69,23445.24,6099.45,WhatsApp
115,43,2024-03-30,438,7,27,6,738.99,537.04,0.0,4433.94,3222.24,1211.7,WhatsApp
116,44,2025-04-29,38,1,17,3,19320.9,14537.61,0.0,57962.72,43612.83,14349.88,Teléfono
117,45,2025-02-14,389,9,17,27,14689.78,10917.09,0.0,396624.11,294761.31,101862.81,Teléfono
118,45,2025-03-19,389,9,30,29,12108.7,9320.4,21180.2,329972.2,270291.6,59680.6,Teléfono
119,46,2025-10-14,104,1,11,2,7570.69,6026.92,0.0,15141.38,12053.84,3087.54,WhatsApp
120,46,2025-09-05,104,1,10,4,3847.51,3161.2,0.0,15390.04,12644.8,2745.24,WhatsApp
121,46,2025-06-07,104,1,13,8,6045.5,4737.88,0.0,48364.0,37903.04,10460.96,WhatsApp
122,46,2025-10-10,104,1,18,9,1924.54,1477.24,208.52,17112.34,13295.16,3817.18,WhatsApp
123,46,2025-07-09,104,1,28,2,5175.19,4111.18,0.0,10350.38,8222.36,2128.02,WhatsApp
124,46,2025-07-17,104,1,23,23,519.34,372.78,0.0,11944.82,8573.94,3370.88,WhatsApp
125,47,2024-02-02,200,11,17,5,9463.84,6998.62,0.0,47319.19,34993.08,12326.11,Correo
126,48,2025-04-27,451,2,22,26,287.75,218.27,517.31,6964.26,5675.08,1289.18,Presencial
127,48,2025-04-18,451,2,20,15,867.1,629.96,0.0,13006.58,9449.33,3557.25,Presencial
128,48,2025-03-31,451,2,10,8,3470.44,2836.11,0.0,27763.56,22688.88,5074.68,Presencial
129,49,2024-12-06,189,5,17,10,9930.21,7326.96,0.0,99302.1,73269.6,26032.5,Presencial
130,49,2024-12-09,189,5,26,6,3916.13,2916.58,0.0,23496.8,17499.46,5997.33,Presencial
131,50,2024-02-05,385,4,23,5,859.15,621.68,0.0,4295.75,3108.4,1187.35,Presencial
132,51,2024-01-26,301,11,19,12,1160.24,821.54,0.0,13922.91,9858.42,4064.49,WhatsApp
133,51,2024-03-04,301,11,18,11,2401.25,1777.77,1045.34,25368.44,19555.47,5812.97,WhatsApp
134,51,2024-03-09,301,11,17,41,6626.23,4876.06,22091.71,249583.62,199918.36,49665.26,WhatsApp
135,52,2025-05-12,210,11,20,10,747.33,551.38,0.0,7473.34,5513.82,1959.52,Presencial
136,52,2025-09-03,210,11,22,21,246.2,193.9,336.19,4834.0,4071.9,762.09,Presencial
137,52,2025-09-26,210,11,12,3,2124.42,1718.52,0.0,6373.27,5155.56,1217.71,Presencial
138,52,2025-09-28,210,11,7,2,3951.85,3157.89,0.0,7903.69,6315.78,1587.91,Presencial
139,53,2025-08-01,490,6,12,8,2773.9,2168.94,891.43,21299.74,17351.52,3948.22,Teléfono
140,53,2025-02-27,490,6,16,7,790.48,585.73,250.39,5282.94,4100.12,1182.82,Teléfono
141,53,2025-04-05,490,6,23,23,524.63,380.88,548.18,11518.26,8760.24,2758.02,Teléfono
142,53,2025-08-21,490,6,22,5,321.77,250.21,41.6,1567.24,1251.06,316.18,Teléfono
143,54,2024-04-09,262,6,27,10,735.83,559.74,0.0,7358.31,5597.37,1760.94,Correo
144,54,2024-05-20,262,6,30,2,4913.19,4032.0,0.0,9826.38,8064.01,1762.37,Correo
145,54,2024-06-02,262,6,13,1,6476.37,5303.7,0.0,6476.37,5303.7,1172.66,Correo
146,54,2024-06-07,262,6,23,18,571.17,409.08,487.32,9793.76,7363.39,2430.38,Correo
147,55,2024-06-29,53,9,26,5,13858.03,10451.93,0.0,69290.17,52259.64,17030.54,WhatsApp
148,55,2025-07-03,53,9,21,19,6881.41,4990.54,0.0,130746.83,94820.18,35926.64,WhatsApp
149,55,2025-07-04,53,9,23,23,2391.48,1610.72,3739.02,51265.02,37046.65,14218.37,WhatsApp
150,56,2024-09-03,403,11,1,2,11081.36,9540.9,641.08,21637.05,19081.8,2555.24,WhatsApp
151,56,2025-02-28,403,11,24,7,1320.65,983.46,197.42,8964.23,6884.24,2079.99,WhatsApp
152,57,2024-05-11,438,2,17,10,8864.41,6345.54,0.0,88644.1,63455.4,25188.7,Teléfono
