ProductoID,SKU,NombreProducto,Categoria,Marca,PrecioVenta,Costo,StockActual,EstadoProducto,ImagenProductoURL
1,LAP-001,Laptop HP Pavilion 15 i5,Laptops,HP,45200,36500,48,Activo,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/knivel/c08543158.png
2,LAP-002,Laptop Dell Inspiron 15 i7,Laptops,Dell,62600,49700,32,Activo,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/inspiron-notebooks/inspiron-15-3530/media-gallery/black/notebook-inspiron-15-3530-black-gallery-1.psd
3,LAP-003,Laptop Lenovo IdeaPad i5,Laptops,Lenovo,41700,33900,55,Activo,https://p2-ofp.static.pub/fes/cms/2022/09/23/0e7eme8l6dvvkdkzjy0z0qm5xqxhf3595830.png
4,LAP-004,Laptop ASUS VivoBook 14,Laptops,ASUS,38200,31300,40,Activo,https://dlcdnwebimgs.asus.com/gain/CBFB977A-FEAE-4E0A-8BA3-01B5FD7A7F71/w717/h525
5,LAP-005,Laptop MacBook Air M2,Laptops,Apple,69600,60000,18,Activo,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/macbook-air-midnight-config-20220606?wid=820&hei=498&fmt=jpeg&qlt=90&.v=1654122880566
6,LAP-006,Laptop HP EliteBook 840,Laptops,HP,80000,64000,25,Activo,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/knivel/c08543480.png
7,MON-001,"Monitor Samsung 24"" FHD",Monitores,Samsung,12500,9800,75,Activo,https://image-us.samsung.com/SamsungUS/home/computing/monitors/ls27r354fhnxza/gallery/01_monitor_S27R354_001_Front_Black.jpg
8,MON-002,"Monitor LG 27"" QHD",Monitores,LG,24300,19100,42,Activo,https://www.lg.com/us/images/monitors/md07000014/gallery/medium01.jpg
9,MON-003,"Monitor Dell 27"" 4K",Monitores,Dell,33300,26000,30,Activo,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/p-series/p2723d/media-gallery/monitor-p2723d-gallery-1.psd
10,MON-004,"Monitor HP 22"" FHD",Monitores,HP,9700,7600,90,Activo,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/knivel/c08084424.png
11,IMP-001,Impresora HP LaserJet Pro,Impresoras,HP,19400,14900,35,Activo,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/knivel/c07920080.png
12,IMP-002,Impresora Canon PIXMA,Impresoras,Canon,6900,5200,60,Activo,https://www.usa.canon.com/content/dam/canon-us/pdp-images/printers/pixma/g-series/g3270/G3270-03.png
13,IMP-003,Impresora Epson EcoTank L3250,Impresoras,Epson,15200,11600,45,Activo,https://epson.com/Assets/Commerce/Products/EcoTank/ET-2850-b.png
14,IMP-004,Impresora Brother Multifuncional,Impresoras,Brother,17300,13400,28,Activo,https://www.brother-usa.com/-/media/Brother/Product%20Images/Printers/MFCL2750DW/Main.png
15,ACC-001,Mouse Logitech MX Master 3,Accesorios,Logitech,7000,5100,120,Activo,https://resource.logitech.com/content/dam/logitech/en/products/mice/mx-master-3s/gallery/mx-master-3s-mouse-top-view-graphite.png
16,ACC-002,Teclado Logitech MK270,Accesorios,Logitech,2000,1400,150,Activo,https://resource.logitech.com/content/dam/logitech/en/products/combos/mk270/gallery/mk270-gallery-1.png
